func_name;id;size;handlers
_convert_to_indexer;488;1;1
_convert_to_indexer;489;1;3
_convert_to_indexer;490;1;1
_getbool_axis;491;1;1
_has_valid_type;492;1;2
_getitem_tuple;493;1;1
convert_to_index_sliceable;494;1;1
maybe_droplevels;495;1;1
maybe_droplevels;496;1;1
create_nd_panel_factory;497;1;1
safe_sort;498;2;1
value_counts;499;2;1
mode;500;1;1
_length_check;501;0;1
_map;502;2;1
_map;503;1;1
str_repeat;504;1;1
str_repeat;505;1;1
_get_single_group_name;506;1;1
_str_extract_frame;507;1;1
str_get_dummies;508;1;1
_dir_deletions;509;0;1
equals;510;2;1
_try_get_item;511;1;1
__new__;512;0;1
__new__;513;1;1
__new__;514;1;1
__new__;515;1;1
__new__;516;1;1
_shallow_copy_with_infer;517;1;1
_convert_slice_indexer;518;0;1
_convert_slice_indexer;519;1;1
__contains__;520;1;1
putmask;521;1;1
equals;522;1;1
asof;523;1;1
union;524;1;1
union;525;0;1
union;526;1;1
intersection;527;2;1
intersection;528;2;1
difference;529;1;1
symmetric_difference;530;1;1
_get_unique_index;531;0;1
get_loc;532;1;1
get_value;533;1;1
get_value;534;1;2
get_value;535;1;3
join;536;1;1
_maybe_cast_indexer;537;1;1
get_slice_bound;538;1;1
get_slice_bound;539;1;1
_add_comparison_methods;540;1;1
_ensure_has_len;541;0;1
_get_level_number;542;2;1
get_value;543;1;2
get_value;544;1;1
get_value;545;1;3
get_value;546;1;2
get_value;547;1;1
__contains__;548;1;1
append;549;1;1
drop;550;2;1
drop;551;1;1
get_loc;552;1;1
get_loc_level;553;1;1
get_loc_level;554;0;1
_get_level_indexer;555;1;1
_get_level_indexer;556;1;1
get_locs;557;2;1
_convert_can_do_setop;558;1;1
__new__;559;2;1
_simple_new;560;1;1
_add_numeric_methods_binary;561;2;1
_convert_tolerance;562;1;1
equals;563;2;1
__contains__;564;1;2
__contains__;565;1;1
get_loc;566;0;1
get_loc;567;1;1
test;568;1;1
_get_terminal_size_windows;569;3;1
_get_terminal_size_tput;570;7;1
_get_terminal_size_linux;571;1;1
_get_terminal_size_linux;572;2;1
_get_terminal_size_linux;573;1;1
mplskip;574;0;1
_skip_if_no_mpl;575;0;1
_skip_if_no_scipy;576;0;1
_skip_if_no_scipy;577;0;1
_skip_if_no_lzma;578;1;1
_skip_if_no_xarray;579;0;1
_skip_if_no_pytz;580;0;1
_skip_if_no_dateutil;581;0;1
_skip_if_no_pathlib;582;0;1
_skip_if_no_localpath;583;0;1
_incompat_bottleneck_version;584;1;1
_default_locale_getter;585;1;1
get_locales;586;1;1
get_locales;587;2;1
set_locale;588;1;1
_can_set_locale;589;0;1
debug;590;1;1
set_trace;591;0;1
ensure_clean;592;1;1
ensure_clean;593;0;1
ensure_clean;594;0;1
assert_class_equal;595;1;1
assert_attr_equal;596;1;1
package_check;597;1;1
package_check;598;1;1
can_connect;599;0;1
network;600;1;1
network;601;1;1
assert_produces_warning;602;0;1
set_timezone;603;1;1
_check_for_default_values;604;2;1
get_sys_info;605;2;1
get_sys_info;606;1;1
get_sys_info;607;1;1
show_versions;608;1;1
show_versions;609;0;1
determine_clipboard;610;0;1
determine_clipboard;611;0;1
get_freq_code;612;2;1
to_offset;613;0;1
to_offset;614;1;1
get_offset;615;3;1
_period_str_to_code;616;1;1
infer_freq;617;1;1
_td_index_cmp;618;1;1
union;619;1;1
join;620;1;1
intersection;621;1;1
get_value;622;1;1
get_value;623;2;1
get_value;624;1;1
get_loc;625;1;1
get_loc;626;1;1
get_loc;627;2;1
insert;628;1;1
insert;629;2;1
as_timestamp;630;1;1
apply_wraps;631;2;1
__add__;632;1;1
freqstr;633;1;1
__getstate__;634;0;1
freqstr;635;1;1
_validate_time;636;2;1
get_calendar;637;1;1
__add__;638;1;1
_mpl_le_2_0_0;639;1;1
convert;640;1;1
convert;641;1;1
